class,stop_id,image,success,candidate_count,score,area_ratio,aspect_ratio,rectangularity,white_ratio,dark_ring_ratio
busy_7,stop_011,busy_7/stop_011/0052.jpg,True,1,9.814020,0.128076,1.410211,0.899952,0.752543,0.052638
busy_7,stop_012,busy_7/stop_012/0057.jpg,True,1,9.905944,0.139901,1.419346,0.942604,0.764531,0.046307
busy_8,stop_001,busy_8/stop_001/0002.jpg,True,1,9.977343,0.055264,1.416372,0.908018,0.753864,0.083157
busy_8,stop_002,busy_8/stop_002/0007.jpg,True,1,9.857200,0.075972,1.402164,0.889097,0.747727,0.062175
busy_8,stop_003,busy_8/stop_003/0012.jpg,True,1,9.822287,0.084819,1.397360,0.878250,0.742827,0.063393
busy_8,stop_004,busy_8/stop_004/0017.jpg,True,1,9.893836,0.094484,1.403142,0.913106,0.769148,0.050812
busy_8,stop_005,busy_8/stop_005/0022.jpg,True,1,9.911064,0.145111,1.438831,0.902863,0.759134,0.062987
busy_8,stop_006,busy_8/stop_006/0027.jpg,True,1,9.914987,0.092161,1.396718,0.922595,0.763224,0.063839
busy_8,stop_007,busy_8/stop_007/0032.jpg,True,2,9.950054,0.060176,1.423489,0.901019,0.737827,0.076623
busy_8,stop_008,busy_8/stop_008/0037.jpg,True,2,10.009853,0.063062,1.429215,0.881900,0.736392,0.113758
busy_8,stop_009,busy_8/stop_009/0042.jpg,True,1,9.826805,0.092290,1.391473,0.897493,0.747713,0.055966
busy_8,stop_010,busy_8/stop_010/0047.jpg,True,1,9.949221,0.092072,1.423749,0.915303,0.761634,0.054789
busy_8,stop_011,busy_8/stop_011/0052.jpg,True,1,9.924637,0.091904,1.415049,0.913478,0.761733,0.055641
busy_8,stop_012,busy_8/stop_012/0057.jpg,True,2,9.878979,0.100046,1.411375,0.890007,0.743949,0.070739
busy_9,stop_001,busy_9/stop_001/0002.jpg,True,1,10.102859,0.073102,1.454280,0.904145,0.764716,0.102151
busy_9,stop_002,busy_9/stop_002/0007.jpg,True,2,10.119693,0.063206,1.458664,0.897711,0.763665,0.100081
busy_9,stop_003,busy_9/stop_003/0012.jpg,True,2,9.898766,0.092884,1.429451,0.893080,0.753097,0.066477
busy_9,stop_004,busy_9/stop_004/0017.jpg,True,1,9.852268,0.078739,1.400665,0.904499,0.767244,0.054180
busy_9,stop_005,busy_9/stop_005/0022.jpg,True,1,10.039331,0.078734,1.444643,0.901470,0.772813,0.085877
busy_9,stop_006,busy_9/stop_006/0027.jpg,True,1,10.021856,0.092435,1.445692,0.913501,0.769787,0.063677
busy_9,stop_007,busy_9/stop_007/0032.jpg,True,2,10.149303,0.061229,1.468036,0.889973,0.760923,0.103571
busy_9,stop_008,busy_9/stop_008/0037.jpg,True,1,10.067864,0.090788,1.464462,0.906686,0.767514,0.077679
busy_9,stop_009,busy_9/stop_009/0042.jpg,True,2,9.977223,0.069779,1.441416,0.874252,0.730568,0.091274
busy_9,stop_010,busy_9/stop_010/0047.jpg,True,1,9.923787,0.113698,1.436922,0.913775,0.767045,0.053328
busy_9,stop_011,busy_9/stop_011/0052.jpg,True,2,10.019913,0.079425,1.453196,0.876192,0.736094,0.102922
busy_9,stop_012,busy_9/stop_012/0057.jpg,True,1,9.882889,0.107109,1.427333,0.907530,0.765952,0.049188
busy_10,stop_001,busy_10/stop_001/0002.jpg,True,2,10.081969,0.065340,1.453429,0.890437,0.746747,0.101055
busy_10,stop_002,busy_10/stop_002/0007.jpg,True,1,9.937206,0.096038,1.427551,0.910318,0.746634,0.057183
busy_10,stop_003,busy_10/stop_003/0012.jpg,True,1,9.967237,0.104648,1.439201,0.899556,0.755938,0.068222
busy_10,stop_004,busy_10/stop_004/0017.jpg,True,1,10.342710,0.074751,1.512041,0.853344,0.542869,0.419968
busy_10,stop_005,busy_10/stop_005/0022.jpg,True,1,9.989476,0.083537,1.436451,0.901726,0.764631,0.057183
busy_10,stop_006,busy_10/stop_006/0027.jpg,True,2,9.878702,0.117819,1.425518,0.878261,0.742116,0.079099
busy_10,stop_007,busy_10/stop_007/0032.jpg,True,1,10.031375,0.059448,1.450789,0.877544,0.736349,0.096997
busy_10,stop_008,busy_10/stop_008/0037.jpg,True,1,9.939035,0.063049,1.417530,0.907654,0.754460,0.062175
busy_10,stop_009,busy_10/stop_009/0042.jpg,True,1,10.278052,0.102160,1.459875,0.871183,0.694901,0.257102
busy_10,stop_010,busy_10/stop_010/0047.jpg,True,1,9.894368,0.107580,1.418232,0.899192,0.765455,0.056615
busy_10,stop_011,busy_10/stop_011/0052.jpg,True,1,9.890031,0.104915,1.421546,0.903128,0.749957,0.054911
busy_10,stop_012,busy_10/stop_012/0057.jpg,True,1,10.031375,0.059448,1.450789,0.877544,0.736349,0.096997
